"Anno","Mese","Cantone","Pernottamenti"
"2005","Agosto","Ticino",388323
"2005","Agosto","Vaud",266238
"2005","Agosto","Valais / Wallis",513409
"2005","Agosto","Neuchâtel",21491
"2005","Agosto","Genève",231790
"2005","Agosto","Jura",10624
"2005","Settembre","Schweiz",3108116
"2005","Settembre","Zürich",352223
"2005","Settembre","Bern / Berne",458277
"2005","Settembre","Luzern",163072
"2005","Settembre","Uri",23816
"2005","Settembre","Schwyz",56344
"2005","Settembre","Obwalden",38749
"2005","Settembre","Nidwalden",34206
"2005","Settembre","Glarus",11981
"2005","Settembre","Zug",22200
"2005","Settembre","Fribourg / Freiburg",34487
"2005","Settembre","Solothurn",28273
"2005","Settembre","Basel-Stadt",66530
"2005","Settembre","Basel-Landschaft",21633
"2005","Settembre","Schaffhausen",12761
"2005","Settembre","Appenzell Ausserrhoden",19248
"2005","Settembre","Appenzell Innerrhoden",21920
"2005","Settembre","St. Gallen",96097
"2005","Settembre","Graubünden / Grigioni / Grischun",426415
"2005","Settembre","Aargau",58863
"2005","Settembre","Thurgau",39575
"2005","Settembre","Ticino",310031
"2005","Settembre","Vaud",216597
"2005","Settembre","Valais / Wallis",333551
"2005","Settembre","Neuchâtel",24566
"2005","Settembre","Genève",227535
"2005","Settembre","Jura",9166
"2005","Ottobre","Schweiz",2437899
"2005","Ottobre","Zürich",314062
"2005","Ottobre","Bern / Berne",345687
"2005","Ottobre","Luzern",117038
"2005","Ottobre","Uri",13397
"2005","Ottobre","Schwyz",51988
"2005","Ottobre","Obwalden",27926
"2005","Ottobre","Nidwalden",22370
"2005","Ottobre","Glarus",13039
"2005","Ottobre","Zug",18865
"2005","Ottobre","Fribourg / Freiburg",29993
"2005","Ottobre","Solothurn",27037
"2005","Ottobre","Basel-Stadt",64344
"2005","Ottobre","Basel-Landschaft",20284
"2005","Ottobre","Schaffhausen",9215
"2005","Ottobre","Appenzell Ausserrhoden",14173
"2005","Ottobre","Appenzell Innerrhoden",17544
"2005","Ottobre","St. Gallen",91566
"2005","Ottobre","Graubünden / Grigioni / Grischun",268170
"2005","Ottobre","Aargau",55671
"2005","Ottobre","Thurgau",30405
"2005","Ottobre","Ticino",261721
"2005","Ottobre","Vaud",176718
"2005","Ottobre","Valais / Wallis",206488
"2005","Ottobre","Neuchâtel",18079
"2005","Ottobre","Genève",214427
"2005","Ottobre","Jura",7692
"2005","Novembre","Schweiz",1557016
"2005","Novembre","Zürich",292329
"2005","Novembre","Bern / Berne",180526
"2005","Novembre","Luzern",83345
"2005","Novembre","Uri",6120
"2005","Novembre","Schwyz",32963
"2005","Novembre","Obwalden",12048
"2005","Novembre","Nidwalden",15102
"2005","Novembre","Glarus",5720
"2005","Novembre","Zug",19785
"2005","Novembre","Fribourg / Freiburg",24079
"2005","Novembre","Solothurn",23287
"2005","Novembre","Basel-Stadt",72018
"2005","Novembre","Basel-Landschaft",19652
"2005","Novembre","Schaffhausen",8051
"2005","Novembre","Appenzell Ausserrhoden",8584
"2005","Novembre","Appenzell Innerrhoden",6345
"2005","Novembre","St. Gallen",65714
"2005","Novembre","Graubünden / Grigioni / Grischun",70513
"2005","Novembre","Aargau",53737
"2005","Novembre","Thurgau",25708
"2005","Novembre","Ticino",81746
"2005","Novembre","Vaud",137264
"2005","Novembre","Valais / Wallis",97551
"2005","Novembre","Neuchâtel",14702
"2005","Novembre","Genève",195509
"2005","Novembre","Jura",4618
"2005","Dicembre","Schweiz",2115946
"2005","Dicembre","Zürich",257660
"2005","Dicembre","Bern / Berne",283038
"2005","Dicembre","Luzern",79900
"2005","Dicembre","Uri",9471
"2005","Dicembre","Schwyz",32544
"2005","Dicembre","Obwalden",34394
"2005","Dicembre","Nidwalden",9313
"2005","Dicembre","Glarus",7296
"2005","Dicembre","Zug",15930
"2005","Dicembre","Fribourg / Freiburg",23444
"2005","Dicembre","Solothurn",17076
"2005","Dicembre","Basel-Stadt",52200
"2005","Dicembre","Basel-Landschaft",9220
"2005","Dicembre","Schaffhausen",4509
"2005","Dicembre","Appenzell Ausserrhoden",7813
"2005","Dicembre","Appenzell Innerrhoden",7409
"2005","Dicembre","St. Gallen",63013
"2005","Dicembre","Graubünden / Grigioni / Grischun",463449
"2005","Dicembre","Aargau",37445
"2005","Dicembre","Thurgau",17896
"2005","Dicembre","Ticino",64113
"2005","Dicembre","Vaud",140260
"2005","Dicembre","Valais / Wallis",307216
"2005","Dicembre","Neuchâtel",10791
"2005","Dicembre","Genève",157433
"2005","Dicembre","Jura",3113
"2006","Gennaio","Schweiz",2758499
"2006","Gennaio","Zürich",251512
"2006","Gennaio","Bern / Berne",402151
"2006","Gennaio","Luzern",75650
"2006","Gennaio","Uri",13867
"2006","Gennaio","Schwyz",35674
"2006","Gennaio","Obwalden",49689
"2006","Gennaio","Nidwalden",12593
"2006","Gennaio","Glarus",14732
"2006","Gennaio","Zug",16046
"2006","Gennaio","Fribourg / Freiburg",16305
"2006","Gennaio","Solothurn",17798
"2006","Gennaio","Basel-Stadt",61211
"2006","Gennaio","Basel-Landschaft",12290
"2006","Gennaio","Schaffhausen",5877
"2006","Gennaio","Appenzell Ausserrhoden",7388
"2006","Gennaio","Appenzell Innerrhoden",7162
"2006","Gennaio","St. Gallen",81691
"2006","Gennaio","Graubünden / Grigioni / Grischun",753602
"2006","Gennaio","Aargau",41442
"2006","Gennaio","Thurgau",19250
"2006","Gennaio","Ticino",51987
"2006","Gennaio","Vaud",168501
"2006","Gennaio","Valais / Wallis",466157
"2006","Gennaio","Neuchâtel",11488
"2006","Gennaio","Genève",160955
"2006","Gennaio","Jura",3481
"2006","Febbraio","Schweiz",3121764
"2006","Febbraio","Zürich",242066
"2006","Febbraio","Bern / Berne",472098
"2006","Febbraio","Luzern",74253
"2006","Febbraio","Uri",17925
"2006","Febbraio","Schwyz",44752
"2006","Febbraio","Obwalden",61358
"2006","Febbraio","Nidwalden",15338
"2006","Febbraio","Glarus",16622
"2006","Febbraio","Zug",15310
"2006","Febbraio","Fribourg / Freiburg",20030
"2006","Febbraio","Solothurn",17600
"2006","Febbraio","Basel-Stadt",61492
"2006","Febbraio","Basel-Landschaft",14429
"2006","Febbraio","Schaffhausen",5467
"2006","Febbraio","Appenzell Ausserrhoden",8178
"2006","Febbraio","Appenzell Innerrhoden",5044
"2006","Febbraio","St. Gallen",91250
"2006","Febbraio","Graubünden / Grigioni / Grischun",824486
"2006","Febbraio","Aargau",43307
"2006","Febbraio","Thurgau",20850
"2006","Febbraio","Ticino",63707
"2006","Febbraio","Vaud",206085
"2006","Febbraio","Valais / Wallis",566436
"2006","Febbraio","Neuchâtel",13660
"2006","Febbraio","Genève",196118
"2006","Febbraio","Jura",3903
"2006","Marzo","Schweiz",3178498
"2006","Marzo","Zürich",300082
"2006","Marzo","Bern / Berne",412136
"2006","Marzo","Luzern",93279
"2006","Marzo","Uri",17288
"2006","Marzo","Schwyz",41083
"2006","Marzo","Obwalden",58962
"2006","Marzo","Nidwalden",14421
"2006","Marzo","Glarus",12664
"2006","Marzo","Zug",18832
"2006","Marzo","Fribourg / Freiburg",24007
"2006","Marzo","Solothurn",23804
"2006","Marzo","Basel-Stadt",82964
"2006","Marzo","Basel-Landschaft",20168
